global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
983.9959012064464	n/a	n/a	968247.9335910868	1260.746921494428	n/a	1589482.8000576776	n/a	994.3362223924744	n/a	988704.5231617364	n/a	1044.2169219428597	993.9598952529526	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0168111734974729	n/a	n/a	0.0002826155543621	-0.0278700202407833	n/a	n/a	0.0007767380282216	-0.1388296440830458	n/a	0.0192736700762251	n/a	0.000260980729771	n/a	n/a	6.811094131180372e-08	-0.0002040246652581	n/a	4.1626064033679756e-08	n/a	-0.0001889733781837	n/a	n/a	3.5710937662159706e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
969.555704579525	-14.44019662692142	208.51927862415275	940038.2642826992	1189.3336470660042	-71.41327442842385	1414514.5240433228	5099.855764589375	994.5981875985452	0.2619652060708404	989225.5547743108	0.0686257691917378	1034.378477154356	961.728380616933	2.702345	37.716732	0.5829666942696146	0.4136710400717541	-0.0356025584	0.0621687813	-0.2149687716	-0.2032699309	0.2634323644	-0.5123847284	0.0116527013	-0.2462750989	-0.1107859456	0.2416197952	-0.0600307947	0.020295713	-0.1217809605	0.0350041945	-0.0917465085	0.1161776766	-0.1480773809	0.146676774	-0.2106651599	0.1109581688	-0.1047387206	-0.057657373	0.0425488463	-0.0393038931	0.0054282994	-0.0969883569	0.0293576504	-0.0138143532	0.1315439492	-0.1011304059	0.1043923215	-0.0959226799	0.2467290655	-0.1281715011	0.0094588823	-0.0113471008	0.1586238116	-0.1743722402	0.0967553635	-0.3068662111	0.0076883768	-0.1222459611	0.033321429	-0.0312091793	0.0433181851	-0.1612876645	-0.0012206562	0.0328040445	-0.1021218735	0.0738463143	-0.1356039247	0.2468841627	-0.0801238421	0.2557576159	-0.1060476649	0.1103706318	-0.152763079	-0.0629071971	0.2174632716	-0.0789980311	0.0683696143	-0.1257085568	0.2093057859	-0.0272072339	0.0043958452	-0.0882885137	0.0116091315	-0.0264767319	0.1078389558	-0.0791418535	0.0267999131	0.0402378166	0.0020560447	-0.0001461878	0.0770069647	-0.0240235998	0.1012437321	0.1296294506	0.1295955703	0.1295391098	0.1294600787	0.0	0.0473051723122495	0.0304939988147765	0.0009298839637155	0.0022377793274916	-0.0421829763020014	-0.0143129560612181	0.0002048607112103	0.0017794034896952	0.245596542201639	0.3844261862846848	0.0603176615414014	0.1477834927013872	-0.0010862177828871	-0.0013471985126581	1.8149438325081968e-06	1.179869071860167e-06	-0.0013112353047417	-0.0011072106394836	1.7193380244010587e-06	1.2259154001856825e-06	0.0004312885318533	0.000620261910037	3.847248370427474e-07	1.8600979770817499e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
964.5747602057108	-4.980944373814168	24.809806855031017	930404.4680259046	1172.9030795826632	-16.430567483341065	1375701.634094495	269.96354782462475	994.4195539043236	-0.1786336942216166	988870.249187274	0.031909996711262	1032.1117762582553	923.0645509599036	1.461886	20.403597	0.1373699729169532	0.0997672332753196	0.0359781949	-0.1326647707	-0.2470054821	-0.0385270001	0.2432092499	-0.2014251607	0.1443131318	-0.0882366623	0.0973823626	0.225848965	-0.1368332218	-0.1616227488	-0.2137319817	0.011491734	-0.1144883082	0.1231983346	-0.1189191497	-0.0887670729	-0.1482367092	0.0308903251	-0.0751276865	0.1474403403	-0.0931344215	0.0814789006	-0.0817915691	0.0630054318	-0.0392252006	0.039600798	0.0068731116	-0.1462323038	-0.0219725601	-0.0273943438	0.1610439235	-0.2848903413	0.0867856545	-0.1246488577	0.1651971393	-0.1026312448	0.024168674	-0.1568732666	-0.0247558792	-0.0411996404	-0.0658866279	0.1271764713	-0.108847762	-0.018703839	0.0837010075	0.1208520285	-0.0614394925	0.0767659606	0.0386608332	-0.0735367884	-0.0338546399	0.356841608	-0.1929204129	0.0224972922	-0.2326128698	0.0164553345	0.121673147	0.0409686366	0.1595352728	-0.1727061323	0.2571762088	0.0958594079	0.1515092501	-0.028932862	-0.0544408932	-0.0517731164	0.062233214	0.134562863	0.0341400665	-0.0748768006	0.0070895416	-0.0438623243	-0.043249876	-0.1940799846	0.1348473207	0.1295391098	0.1292343642	0.128726986	0.1280177706	0.0	0.0459318516838322	-0.0013733206284172	1.8860095484364733e-06	0.0021097349991055	-0.0424618751669072	-0.0002788988649057	7.778457684574334e-08	0.00180301084269	0.3290393032601741	0.0834427610585351	0.1082668630899408	0.0069626943730717	-0.001814079552742	-0.0007278617698549	5.297827560163075e-07	3.290884623676615e-06	-0.0014940160140926	-0.0001827807093509	2.23208385036514e-06	3.340878771081821e-08	0.0005661458999494	0.0001348573680961	1.818650972980702e-08	3.205211800295161e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
961.9511297308112	-2.6236304748996417	6.88343686882212	925349.975990384	1163.3786687514362	-9.524410831226987	1353449.926905864	90.71440168199396	992.8576949123908	-1.5618589919328087	985766.402346746	2.4394035106813696	1030.536867434702	921.366892560201	1.367173	19.08169	0.2917503929768789	0.2363947165258084	0.0988006896	-0.1113167962	-0.0086853498	0.1465774896	0.045078994	-0.0341815371	-0.0808878549	-0.0176023213	0.0948648448	0.1107302332	-0.0420885885	0.0185641819	-0.1794856403	0.0219014265	-0.1231329635	-0.0521948036	0.1515584582	-0.0592103532	-0.0570927168	0.1742936089	-0.0454641474	0.0937196293	-0.0908186879	-0.0239573134	-0.0043947756	-0.1095105304	0.0823496589	-0.0078563821	-0.0569856564	0.1125271989	0.1275757576	-0.0075842951	0.0756513721	-0.1312581706	-0.0566525649	0.0696543825	0.1546240019	0.0238555123	0.0265609983	-0.0574771518	-0.2149464977	0.0296448949	-0.0080670223	-0.0733032736	-0.208331775	0.0696944697	0.0796722821	-0.068943943	-0.0081577437	-0.0166290071	0.0126195714	-0.0546674326	-0.0401054941	0.1624172519	-0.2482060802	-0.071680652	-0.041367653	-0.0135839406	0.0017390954	-0.0283201647	0.0969564557	0.0607575465	0.0194716401	0.0043605584	0.0928242076	0.135406253	-0.1557352706	0.0148366478	-0.0674387741	0.0133369819	0.0744906533	0.0074815869	0.0817982492	-0.0181584655	0.0557081421	-0.0502178967	-0.0524912689	0.129358491	0.1285129588	0.12710783	0.125149223	0.0	0.0548870060268029	0.0089551543429707	8.019478930642699e-05	0.0030125834305862	-0.0425895916904295	-0.0001277165235223	1.6311510380622682e-08	0.0018138733203575	0.1146866623793982	-0.2143526408807759	0.013153030527726	0.0459470546525628	-0.000650100547663	0.001163979005079	1.3548471242646988e-06	4.226307220717326e-07	-0.0016231612851598	-0.0001291452710671	2.6346525576416136e-06	1.6678501039020548e-08	0.0004929725515034	-7.317334844600008e-05	5.354338922799742e-09	2.430219365357723e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963.4222170704908	1.4710873396795705	2.164097960965516	928182.36834502	1167.2672284294576	3.8885596780214655	1362512.7825653877	15.120896369534403	992.6544219090832	-0.2032730033075722	985362.8013356562	0.0413199138736802	1031.4084905387217	920.0790114302096	1.023808	14.289327	0.2263090755791644	0.1561709184049137	0.1331771208	-0.0826001496	0.0878512014	0.1434201797	-0.0822019598	-0.0736463585	-0.2837932949	0.0786930701	0.0448087123	0.1026216961	-0.014825638	0.1343170972	-0.0961169414	0.0741318098	0.0401325799	0.0427371069	0.1155188797	0.0409481797	0.1579057992	-0.0340873142	0.159269546	0.0770445184	-0.1173489589	-0.0713938024	-0.0273542703	-0.1294473925	-0.0648041558	-0.1026813842	-0.1165237679	0.0796386116	0.0059945745	-0.0520252325	0.1002028623	-0.0397952365	-0.1346691754	0.1878810095	0.0411181853	0.0474048947	0.1028702401	0.1630305052	-0.1220549071	-0.0564217623	0.01525706	-0.1098491879	0.0005215952	0.1114154686	0.1624622713	-0.1546899072	-0.0345320455	-0.0411806573	0.0717774649	0.0084025329	-0.0332099701	-0.0008963043	-0.1795039423	-0.082162259	0.0837252165	-0.0844245134	-0.0995072995	0.0592513502	0.1286821501	0.0557839613	-0.0979866799	0.0472935514	0.0452829922	0.0956261379	-0.1557038751	0.1481181463	0.0020312287	-0.0204193192	0.0070211189	0.0276406223	0.2052712894	0.0134032869	0.0984192593	-0.0968179242	-0.186901485	0.1290877201	0.1274333647	0.1246917927	0.1208863942	0.0	0.0030466759945539	-0.051840330032249	0.0026874198178524	9.282234615790996e-06	-0.0424174842178644	0.0001721074725651	2.9620982112747624e-08	0.0017992429673727	-0.0281076045681771	-0.1427942669475753	0.000790037434561	0.0203902026730953	-0.0003158601123243	0.0003342404353387	1.1171666861540373e-07	9.97676105575194e-08	-0.0016231256640084	3.5621151400072604e-08	2.634536921162709e-06	1.2688664270668944e-15	0.0007887439175488	0.0002957713660454	8.748070097236203e-08	6.221169674702282e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
964.1713093182912	0.7490922478003768	0.561139195714621	929626.313712548	1165.520130112592	-1.7470983168657312	1358437.1736976732	3.0523525287950712	993.0810709882396	0.426649079156391	986210.013555149	0.1820294367449964	1029.5935004701685	931.92733259439	1.234812	17.234318	0.0778330668182864	0.0439959637229727	0.1625556746	0.0187174755	0.0650323682	0.1132496829	-0.0081701262	-0.1073881848	0.0725890446	0.1552937458	-0.1620304105	0.0876375552	-0.1237680124	0.148436438	-0.0685732617	0.0728043849	0.0640884998	-0.0078176026	0.1299069258	-0.0338300172	0.0843093046	-0.1122187686	0.0660638075	-0.0201584432	-0.0415282884	0.0891391491	-0.0896528363	0.1138317498	-0.2122947348	0.0647334763	0.0284419533	-0.0559860929	-0.2031818984	0.0175566454	0.0287851007	-0.083446962	0.0922621519	0.1465003703	0.0673796291	-0.0878308165	0.0886937786	0.1976925669	0.0452774683	0.1669751142	-0.0799761722	0.1502255661	-0.0001085944	0.094063678	-0.1069767423	0.0819427809	-0.0312362557	-0.0381894748	-0.0090086055	-0.0606310536	0.1234229998	-0.0226758913	-0.0701783946	0.0209765894	0.0308390718	-0.0612115036	-0.1504803708	-0.2336920123	0.0209034358	0.1038189164	0.0719449597	-0.0552115728	-0.034987958	-0.0383790347	0.0898151208	0.0572184955	-0.0962161657	-0.0933626318	-0.0626897412	-0.1931856946	0.1323962823	0.1338128495	0.1427352169	0.2175076336	0.1708355694	0.128726986	0.1259985909	0.1214940211	0.1152767764	0.0	0.002949510970879	-9.716502367490032e-05	9.441041825743942e-09	8.69961496733558e-06	-0.0422584223376247	0.0001590618802396	2.5300681745387283e-08	0.001785774258465	0.0034659294700247	0.0315735340382018	1.2012667091185698e-05	0.0009968880516614	-0.0002274341580748	8.842595424949997e-05	7.819149384934662e-09	5.1726296259193125e-08	-0.0010656208093862	0.0005575048546222	1.1355477093969e-06	3.108116629273203e-07	0.0010628792262005	0.0002741353086517	7.515016744956283e-08	1.1297122494885735e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963.3952996103982	-0.7760097078929675	0.6021910667441288	928130.5033114088	1160.6824146943934	-4.837715418198513	1347183.6677808077	23.403490467475617	992.0079099339672	-1.0731610542724184	984079.693371558	1.1516746484070886	1030.3361326594338	929.8157135419792	1.250332	17.450924	0.2074131361483914	0.0968544095717329	0.0930427416	0.113193158	0.0086246288	0.1027242179	-0.0978967933	0.0060572265	0.1261452654	0.0420229437	-0.177398093	-0.032385439	-0.1552106978	0.1415996745	0.2438201842	-0.109878621	-0.1173298554	-0.0502111881	0.1944596728	0.1066732945	-0.2154460748	0.1645290898	-0.0457543303	-0.0413231435	0.1539439194	0.1592623551	-0.0050761987	0.011863134	-0.0701496587	-0.0341119365	-0.0853984084	-0.1811076844	0.0399382565	0.1515774165	-0.0120953293	-0.0231454209	-0.0645784396	0.2123570075	-0.2290078747	-0.092392391	-0.0986820362	-0.2323020687	-0.0292944085	0.200706034	0.0548781491	-0.136312168	-0.0181372454	0.1638991575	-0.1712110451	0.0964757044	0.0099040456	-0.0218966788	0.0236112599	-0.1154927789	0.062332637	-0.0458364054	0.0449339502	0.2152032785	-0.0695146151	-0.0076708157	-0.1429742273	-0.2618208339	-0.1010495164	-0.0709371654	-0.152308102	-0.0896483222	-0.0002412581	0.0127837184	-0.0380412647	-0.0043173218	-0.1163589718	0.0038917679	-0.0052882926	-0.036705477	-0.1825310678	-0.0415926596	-0.0311763065	0.1530260127	-0.0542644846	0.1282765399	0.1242126365	0.117534563	0.1083828658	0.0	0.0095822596439205	0.0066327486730415	4.399335495973378e-05	9.18196998835074e-05	-0.1141436465500618	-0.0718852242124371	0.0051674854600723	0.0130287720477454	0.0506666273219025	0.0472006978518778	0.0025671071241765	0.0022279058777042	0.0004441095604533	0.0006715437185281	4.5097096589454803e-07	1.9723330168602335e-07	-0.0009309480496688	0.0001346727597173	8.666642711821426e-07	1.8136752209900544e-08	0.0002352063962253	-0.0008276728299752	6.850423134791563e-07	5.532204882529283e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
962.9534300313506	-0.441869579047534	0.1952487248876449	927279.3084091434	1164.632360301298	3.949945606904521	1356368.5346609722	15.602070297504325	989.4953716087052	-2.5125383252619717	979101.0904350496	6.312848835910232	1027.7713091779528	936.5904510117308	1.333668	18.61405	0.1158341864996931	0.0602862512210772	-0.0957658171	-0.0137381373	0.0346936343	-0.0532863128	-0.0847569311	0.1281958309	0.0162370177	0.1267501538	-0.1666488246	-0.1659353743	-0.0860402644	0.0648715256	0.1525758942	-0.0042790828	0.0181043096	-0.0363437829	0.067318904	0.0281787866	-0.0509214154	0.0781123684	0.0591072559	0.0357757215	0.1180601664	-0.0929802955	0.0834666432	0.1054022152	0.0731762729	0.0561600047	0.0532012972	0.1170080846	0.0948554035	-0.2449818303	-0.1187515669	0.0767042698	0.0578413997	0.0785062529	-0.1953448013	0.0020693413	-0.010404118	-0.0071236568	-0.0450922227	0.0122839124	-0.0497423212	-0.1639797974	0.1173744462	-0.1206568364	-0.0241506689	0.1708506117	-0.0312176667	-0.0003960263	-0.05193267	0.1437827709	-0.0209960288	-0.0747078838	0.0224009551	0.1084668463	-0.0203556626	0.1041241785	-0.0407340541	-0.1899393476	-0.0206582069	0.0812101901	-0.1504124766	-0.0069163649	-0.0475245906	0.0717295598	-0.0068585837	0.1477769353	-0.0167373218	0.1371518352	-0.0602740346	0.0851270639	-0.0952673191	-0.0365610734	-0.1202663236	-0.118872154	-0.1354527341	0.1277366958	0.1220804792	0.1128382417	0.1002814672	0.0	0.0192815389361271	0.0096992792922066	9.407601878822778e-05	0.0003717777437453	-0.0985474393898329	0.0155962071602289	0.0002432416777847	0.0097115978102927	-0.0069132576425801	-0.0575798849644826	4.779313123269216e-05	0.003315443152523	0.0001710470415589	-0.0002730625188944	7.456313922495458e-08	2.9257090426052064e-08	-0.0006309866846054	0.0002999613650634	3.981441961493145e-07	8.997682053069836e-08	0.0001490539785276	-8.615241769770001e-05	7.422239075158973e-09	2.221708851490624e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
959.9975491196776	-2.9558809116730345	8.73723196399301	921595.2943157878	1161.8613038904527	-2.7710564108451763	1349921.689478023	7.67875363208615	989.4507649122132	-0.0446066964919964	979012.8161853638	0.001989757371929	1026.786748712713	926.7584112317456	1.108276	15.468254	0.3191768511051809	0.1737205855994959	-0.0936522726	-0.0502389887	0.0306128736	-0.0663555811	0.0347643397	0.1349157067	0.1917723369	-0.0058253145	0.0637916767	-0.0972462957	-0.1099495133	-0.027392438	0.0211826728	0.1028498805	0.0746676976	0.0153573943	0.0155515762	0.0389056127	0.0268329237	-0.0734137585	-0.1696966877	-0.0609183468	0.0155747026	-0.0775795927	0.1189176758	0.0842451216	0.2257189441	0.0396037029	-0.1245189208	-0.0158567766	0.1059728829	0.1159348562	-0.0964329617	0.0141251334	0.1307984098	-0.0279525126	-0.0841988538	-0.0320356196	0.0621846757	0.0049330663	-0.0196158305	0.0676162636	-0.0458255053	-0.0464980623	0.0121832523	-0.2312507832	0.0407752473	-0.084933759	0.2293132766	-0.023220988	-0.0043902035	-0.0607458034	-0.1671140823	0.0157977133	0.0384421303	-0.0504198501	0.0358248973	0.167993542	-0.0062800481	-0.0545122308	-0.1179092819	-0.0658057768	0.1484451665	-0.1174065026	-0.1206430685	-0.0295147419	-0.0417034766	-0.0360998658	-0.04697844	0.0077307057	-0.1417700852	0.0596622925	-0.1234218553	0.0079471243	-0.0422754428	0.1840618131	-0.1160192289	0.12710783	0.1196080616	0.1074345	0.0910628379	0.0	0.035500324406243	0.0162187854701158	0.0002630490021256	0.0012602730329484	0.0301432583941476	0.1286906977839805	0.0165612956961278	0.0009086160266163	0.0662089264168344	0.0731221840594145	0.0043836219372697	0.0053468538016188	-0.0012813305758642	-0.0014523776174231	2.1094007435916008e-06	1.6418080446444829e-06	-0.0010142158674979	-0.0003832291828925	1.028633825884518e-06	1.468646066204533e-07	0.0003363508540454	0.0001872968755178	3.5080119578730274e-08	1.1313189701706998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
961.8567584497964	1.8592093301188013	3.4566593332008027	925168.42377555	1160.2573342715991	-1.6039696188536254	1346197.0817310372	2.5727185382054443	991.520203099808	2.069438187594756	983112.3131550844	4.2825744122754665	1028.4691380866518	925.0431066062766	1.012124	14.12625	0.1411472483674198	0.0845529911282897	-0.0767452863	-0.0962083913	0.0675780835	0.0267139351	0.0869932191	0.173806986	-0.0420087635	-0.1724100686	0.0944185768	-0.0098413917	-0.0032912812	0.0343812151	-0.1847537976	-0.1086074734	0.0275775784	-0.1401493067	-0.1178102954	-0.142519395	0.0105117542	0.1331480341	0.0937453262	-0.0153040108	-0.0311579882	-0.0544924881	0.0435603607	0.0793208715	0.0469865999	0.0367134422	0.0573189704	-0.0051492921	-0.0477944038	0.16946303	-0.0619985972	-0.0144467929	0.0281997892	-0.0331041413	0.1666091237	-0.0554048126	-0.1889735693	0.034161388	-0.1540605989	-0.1552037665	-0.0183680451	-0.0418677349	-0.0019900025	-0.0733371638	0.0090133046	0.0047357565	0.0523534703	-0.0316298657	-0.0585558978	-0.0842437012	0.1229857744	0.0066980231	-0.055671255	-0.1667700461	0.0254856059	0.1201589427	0.0565221774	0.1466539002	-0.1422913452	-0.0115106678	0.0652854058	-0.0327465945	-0.0698311529	0.0288158213	-0.0268972432	-0.1655600535	-0.0691654879	0.0676185827	-0.1117931003	0.0060865852	0.0660292832	-0.1262364641	0.108777507	0.124773419	-0.1861579546	0.1263903806	0.116802275	0.1013572156	0.0808296822	0.0	0.0448130411001983	0.0093127166939553	8.672669222187376e-05	0.002008208652648	0.0934542969051221	0.0633110385109745	0.004008287597338	0.0087337056100307	0.0547190548550844	-0.01148987156175	0.0029941749642337	0.0001320171485055	-0.0003592611296973	0.0009220694461669	8.502120635545338e-07	1.290685593113802e-07	-0.0009580902857913	5.612558170660007e-05	9.17936995727655e-07	3.1500809219042404e-09	0.0004988282581867	0.0001624774041412	2.639890685649532e-08	2.48829631165577e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
